Order ID,Date,Product,Country Code,Amount
821516,1/1/2019,Chocolate Chip Muffin (Boston),USA,4.96
821517,1/1/2019,Chicken Fajita Wrap (Geneva),CHE,2.88
821518,1/1/2019,Tomato Juice (Strasbourg),FRA,2.13
821519,1/1/2019,Still Water (Katowice),POL,4.04
821520,1/1/2019,Chocolate Chip Muffin (Hamburg),DEU,1.63
821521,1/1/2019,Lemon & Ginger Tea (Sydney),AUS,3.17
821522,1/1/2019,Tomato Juice (Auckland),NZL,1.86
821523,1/1/2019,Cheese & Pickle Sandwich (London),GBR,4.59
821524,1/1/2019,Apple Juice (Salzburg),AUT,2.97
821525,1/1/2019,Chicken Salad Sandwich (San Francisco),USA,3.07
821526,1/1/2019,Tomato Juice (Berlin),DEU,1.75
821527,1/1/2019,Green Tea (Strasbourg),FRA,4.21
821528,1/1/2019,Chocolate Chip Muffin (Portland),USA,1.89
821529,1/1/2019,Chicken Salad Sandwich (Boston),USA,3.57
821530,1/1/2019,Porridge (Salzburg),AUT,5.42
821531,1/1/2019,BLT Sandwich (Hamilton),NZL,2.21
821532,1/1/2019,Tuna Melt Panini (Sønderborg),DNK,2.41
821533,1/1/2019,Tea (Albuquerque),USA,4.59
821534,1/1/2019,Apple Juice (Paris),FRA,3.2
821535,1/1/2019,Coffee (Odense),DNK,3.93
821536,1/1/2019,Ham & Cheese Toastie (London),GBR,3.8
821537,1/1/2019,Cheese & Pickle Sandwich (Potsdam),DEU,4.51
821538,1/1/2019,Blueberry Muffin (Sønderborg),DNK,5.11
821539,1/1/2019,Ham & Cheese Toastie (Toulouse),FRA,3.91
821540,1/1/2019,Fruit Box (Stockholm),SWE,3.57
821541,1/1/2019,Blueberry Muffin (Lille),FRA,2.12
821542,1/1/2019,Green Tea (Edinburgh),GBR,5.12
821543,1/1/2019,Chocolate Twist (Sønderborg),DNK,4.02
821544,1/1/2019,Lemon & Ginger Tea (Odense),DNK,3.19
821545,1/1/2019,Coffee (Portland),USA,4.92
821546,1/1/2019,Tuna Melt Panini (Odense),DNK,4.17
821547,1/1/2019,Tuna Melt Panini (Galway),IRL,1.75
821548,1/1/2019,BLT Sandwich (Berlin),DEU,2.26
821549,1/1/2019,Chocolate Chip Muffin (Copenhagan),DNK,3.82
821550,1/1/2019,Tomato Juice (Cardiff),GBR,3.8
821551,1/1/2019,Butter Croissant (London),GBR,3.26
