Order ID,Date,Product,Country Code,Amount
439694,1/1/2018,Chocolate Chip Muffin (Seattle),USA,1.62
439695,1/1/2018,Orange Juice (Galway),IRL,1.97
439696,1/1/2018,Orange Juice (Austin),USA,2.81
439697,1/1/2018,Ham & Cheese Toastie (Seattle),USA,5.45
439698,1/1/2018,Apple Juice (Potsdam),DEU,4.64
439699,1/1/2018,Toast (Lausanne),CHE,4.23
439700,1/1/2018,Almond Croissant (Seattle),USA,4.87
439701,1/1/2018,Orange Juice (Brussels),BEL,4.83
439702,1/1/2018,Butter Croissant (Stockholm),SWE,2.1
439703,1/1/2018,Peach Juice (Southampton),GBR,5.18
439704,1/1/2018,Green Tea (Boston),USA,5.13
439705,1/1/2018,Tomato Juice (Cardiff),GBR,2.55
439706,1/1/2018,Toast (Southampton),GBR,2.44
439707,1/1/2018,Lemon & Ginger Tea (Paris),FRA,5.08
439708,1/1/2018,Chocolate Twist (Stockholm),SWE,2.29
439709,1/1/2018,Peach Juice (Graz),AUT,3.15
439710,1/1/2018,Still Water (Lille),FRA,2.25
439711,1/1/2018,Fruit Box (Austin),USA,5.28
439712,1/1/2018,Chicken Fajita Wrap (Cardiff),GBR,2.71
439713,1/1/2018,Chicken Fajita Wrap (Munich),DEU,4.45
439714,1/1/2018,BLT Sandwich (Portland),USA,5
439715,1/1/2018,Lemon & Ginger Tea (Lille),FRA,1.71
439716,1/1/2018,Sparkling Water (Gdańsk),POL,3.89
439717,1/1/2018,Tuna Melt Panini (Vancouver),CAN,4.88
439718,1/1/2018,Orange Juice (Stockholm),SWE,5.42
439719,1/1/2018,Ham & Cheese Toastie (Munich),DEU,2.26
439720,1/1/2018,Toast (Kirkland),USA,1.53
439721,1/1/2018,BLT Sandwich (Odense),DNK,2.39
439722,1/1/2018,Apple Juice (Odense),DNK,1.81
439723,1/1/2018,Chocolate Twist (Canberra),AUS,4.29
439724,1/1/2018,Cheese & Pickle Sandwich (Southampton),GBR,4.51
439725,1/1/2018,Chicken Salad Sandwich (Potsdam),DEU,1.89
439726,1/1/2018,Cheese & Pickle Sandwich (Lausanne),CHE,4.78
439727,1/1/2018,Granola Bar (Seattle),USA,4.28
439728,1/1/2018,Apple Juice (Copenhagan),DNK,5.12
439729,1/1/2018,Apple Juice (Seattle),USA,4.94
439730,1/1/2018,Blueberry Muffin (Melbourne),AUS,4.33
439731,1/1/2018,Granola Bar (Hamilton),NZL,2.18
439732,1/1/2018,Tea (Melbourne),AUS,4.75
439733,1/1/2018,Sparkling Water (Manchester),GBR,4.4
439734,1/1/2018,Tea (Berlin),DEU,4.19
439735,1/1/2018,Blueberry Muffin (Edinburgh),GBR,4.63
439736,1/1/2018,Peach Juice (San Francisco),USA,1.78
439737,1/1/2018,Tuna Melt Panini (Munich),DEU,5.26
439738,1/1/2018,Tea (Toulouse),FRA,5.05
439739,1/1/2018,Cheese & Pickle Sandwich (Stuttgart),DEU,3.17
439740,1/1/2018,Porridge (Portland),USA,4.52
439741,1/1/2018,Chocolate Chip Muffin (Manchester),GBR,4.21
439742,1/1/2018,Apple Juice (Copenhagan),DNK,1.63
439743,1/1/2018,Sparkling Water (Lausanne),CHE,3.58
439744,1/1/2018,Blueberry Muffin (Paris),FRA,3.71
439745,1/1/2018,Green Tea (Katowice),POL,2.62
439746,1/1/2018,Sparkling Water (Auckland),NZL,4.23
439747,1/1/2018,Sparkling Water (Galway),IRL,2.23
439748,1/1/2018,BLT Sandwich (Berlin),DEU,2.81
439749,1/1/2018,Still Water (Edinburgh),GBR,2.84
439750,1/1/2018,Green Tea (Seattle),USA,4.79
439751,1/1/2018,Chicken Salad Sandwich (Odense),DNK,2.96
439752,1/1/2018,Coffee (Hamburg),DEU,1.69
439753,1/1/2018,Tuna Melt Panini (Portland),USA,2.95
439754,1/1/2018,Almond Croissant (Sønderborg),DNK,1.77
439755,1/1/2018,Porridge (Strasbourg),FRA,4.31
439756,1/1/2018,Chicken Salad Sandwich (Lille),FRA,3.78
439757,1/1/2018,Chocolate Chip Muffin (Glasgow),GBR,4.63
439758,1/1/2018,Fruit Box (Edinburgh),GBR,4.86
