Order ID,Date,Product,Country Code,Amount
1,1/1/2016,Chicken Fajita Wrap (Potsdam),DEU,4.98
2,1/1/2016,Yoghurt (Odense),DNK,5.39
3,1/1/2016,Green Tea (Stuttgart),DEU,3.12
4,1/1/2016,Ham & Cheese Toastie (Graz),AUT,2.19
5,1/1/2016,Almond Croissant (Sydney),AUS,4.11
6,1/1/2016,Peach Juice (Hamburg),DEU,1.6
7,1/1/2016,Granola Bar (Glasgow),GBR,2.35
8,1/1/2016,Butter Croissant (Vancouver),CAN,2.61
9,1/1/2016,Tea (Seattle),USA,1.89
10,1/1/2016,Still Water (Toronto),CAN,4.88
11,1/1/2016,Peach Juice (Sydney),AUS,5.02
12,1/1/2016,Almond Croissant (Sydney),AUS,3.38
13,1/1/2016,Chicken Salad Sandwich (Birmingham),GBR,4.91
14,1/1/2016,Orange Juice (Seattle),USA,4.96
15,1/1/2016,Green Tea (Berlin),DEU,3.7
16,1/1/2016,Butter Croissant (Galway),IRL,4.97
17,1/1/2016,Ham & Cheese Toastie (Auckland),NZL,3.48
18,1/1/2016,Toast (Stuttgart),DEU,4.88
19,1/1/2016,Toast (Auckland),NZL,5.19
20,1/1/2016,Ham & Cheese Toastie (Copenhagan),DNK,2.47
21,1/1/2016,Chocolate Twist (Stockholm),SWE,3.97
22,1/1/2016,Lemon & Ginger Tea (Sønderborg),DNK,2.05
23,1/1/2016,BLT Sandwich (Kraków),POL,2.28
24,1/1/2016,Peach Juice (Berlin),DEU,3.84
25,1/1/2016,Yoghurt (Berlin),DEU,4.16
26,1/1/2016,Toast (Salzburg),AUT,1.74
27,1/1/2016,Porridge (Lausanne),CHE,1.52
28,1/1/2016,Chicken Salad Sandwich (Vancouver),CAN,3.07
29,1/1/2016,Green Tea (Glasgow),GBR,2.13
30,1/1/2016,Yoghurt (Brussels),BEL,3.94
31,1/1/2016,Lemon & Ginger Tea (Toronto),CAN,1.72
32,1/1/2016,Peach Juice (Seattle),USA,3.26
33,1/1/2016,Still Water (Katowice),POL,1.91
34,1/1/2016,Blueberry Muffin (Lille),FRA,2.15
35,1/1/2016,Granola Bar (Portland),USA,2.75
36,1/1/2016,Granola Bar (Strasbourg),FRA,2.07
37,1/1/2016,Peach Juice (Salzburg),AUT,4.53
38,1/1/2016,Butter Croissant (Geneva),CHE,3.27
39,1/1/2016,Orange Juice (Cardiff),GBR,2.45
40,1/1/2016,Apple Juice (Dresden),DEU,3.51
41,1/1/2016,Porridge (Portland),USA,3.67
42,1/1/2016,Coffee (Toronto),CAN,1.68
43,1/1/2016,Yoghurt (Auckland),NZL,3.74
44,1/1/2016,Granola Bar (Berlin),DEU,3.73
45,1/1/2016,Almond Croissant (Sydney),AUS,4.64
46,1/1/2016,Apple Juice (Albuquerque),USA,5.17
47,1/1/2016,Porridge (Birmingham),GBR,4.66
48,1/1/2016,Lemon & Ginger Tea (Toulouse),FRA,3.84
49,1/1/2016,Tomato Juice (Boston),USA,4.01
50,1/1/2016,Orange Juice (Gdańsk),POL,4.17
51,1/1/2016,Chocolate Chip Muffin (Kirkland),USA,2.5
